103203884725567488	50357085	negative
100197935970652160	192590613	neutral
90854967476363265	23108799	neutral
102522834261262336	9141832	negative
103942286265679873	14146019	negative
108563517724049408	271473962	neutral
109228474358710272	196884501	neutral
101228037500182528	269135285	neutral
109393614064455680	15462399	neutral
103384537324732416	101840761	neutral
109030416631087104	43085350	neutral
104093934401232896	170277278	neutral
111025350171045889	212277484	negative
104789146962366464	16347909	negative
103972153925443584	17528001	neutral
90971482913652736	41994410	positive
