111696208740884480	190686764	neutral
104773488799268864	24651255	negative
102705034470498305	138387125	negative
101890785275949056	190321556	negative
101452523759607809	72015454	neutral
101574714840977409	54473030	neutral
102705222475984896	248258878	negative
102522451816235008	325558952	neutral
101619112194736128	252742529	neutral
102432235105419265	140044667	positive
100516165855617025	91321101	positive
104109412695810048	109216147	neutral
105197057844846592	205262441	negative
105255718269104128	111005623	negative
103399007484772352	48292678	neutral
102525887077040128	102811600	neutral
104124524810874880	114503071	negative
102462990133112832	279925750	negative
105558608678363138	43068480	neutral
