109002622928822273	20954885	negative
109016744177319937	37107660	negative
109000977264295936	16250929	neutral
106071742820265984	108617892	negative
109001223956463616	113061485	negative
109000697319657472	131227591	neutral
101028289136697344	327493915	neutral
104032618705715200	7807292	positive
109001059682369536	212403124	negative
100880109921239040	92697639	positive
109001043232305152	16661097	neutral
108956215438086144	183353797	negative
109002873697878016	244126934	negative
96679152068988928	322293210	negative
109002569942175744	25185001	neutral
100668742882705409	16426077	neutral
108577537071910912	177423199	neutral
109001185259819008	28592453	negative
109002088780005376	10507832	neutral
101029173702819842	54257746	neutral
109001152833662976	47147054	neutral
