101301416529903618	145024879	positive
90905261992194048	177156106	neutral
91081325884358656	48453	neutral
101149621740515328	315605046	neutral
94613445332303872	240276237	neutral
96574194346770432	22576224	positive
106328553838227456	17670912	positive
91186900437712896	30830935	positive
103476326253608960	30830935	neutral
94248654969389057	95349399	positive
108444506294202368	207412793	neutral
100970722079412225	346122711	negative
102205298932072448	277399708	positive
101316639206813696	171057837	negative
