262696171703783425	283223567	positive
264123855306641409	129882484	positive
264110605730988032	114586489	positive
262110858660941824	598554482	neutral
264117710437351424	371164203	positive
264127697196822528	114255419	positive
264120116969627648	381103532	positive
264125369257455616	145277563	positive
261602737693814785	465934405	neutral
261782415662526464	362119227	neutral
111854950841196544	105805842	positive
111476531758514176	68249411	positive
112050652489859072	232376395	positive
111718815578062848	124004671	positive
111824175580200960	248813520	positive
111929406846545920	28983293	negative
111718983148904448	261825826	positive
111839599457861632	20059782	positive
111793453825933312	58923175	positive
111914336393506817	63263214	positive
111718659336044544	20632700	positive
111855071020584960	92610238	positive
111477260451713025	26254037	positive
111868924253048833	27134028	positive
111794013799063554	175847441	positive
111853887895515136	20576706	neutral
111719777055145984	222923751	positive
111734263019347968	122017228	positive
