109227767333265408	310626016	neutral
109288021341384704	23159696	negative
109001452000788482	46438367	neutral
109272638165221376	22730287	negative
109318399284355073	40753509	negative
106569271450140673	191241076	neutral
109241793635299328	17850857	negative
108547418622136320	223546895	positive
109093584166326272	47618120	positive
109318249514143744	21714886	negative
109332291150544897	124950761	positive
109273529513549824	16818520	positive
109228096384798720	21108073	positive
109183675299667969	28158298	neutral
101060074771984384	53572999	neutral
108758959632035841	172533762	positive
109287825110863872	21515380	negative
109122120847589376	56793909	positive
